# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = chebyshev_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = chebyshev.dataset.R
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = samples3.csv
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,coefs.1,coefs.2,coefs.3,coefs.4,coefs.5,coefs.6,coefs.7,coefs.8,coefs.9,coefs.10,coefs.11,coefs.12,coefs.13,coefs.14,coefs.15,coefs.16,coefs.17,coefs.18,coefs.19,coefs.20
# Adaptation terminated
# Step size = 0.602977
# Diagonal elements of inverse mass matrix:
# 2.36352e-05, 1.80954e-05, 1.69604e-05, 1.98494e-05, 1.70371e-05, 1.87382e-05, 1.81899e-05, 1.88539e-05, 1.86597e-05, 2.10854e-05, 1.84943e-05, 1.86496e-05, 1.78352e-05, 1.71771e-05, 2.04252e-05, 1.76951e-05, 1.82298e-05, 1.74743e-05, 1.8975e-05, 1.96092e-05
-17.2038,1,0.602977,1,1.00382,0.000308749,0.499517,0.00278754,-5.81464e-05,-0.00309572,0.00446622,-0.00296652,-0.00149198,0.00150397,0.00233178,0.000834058,0.00202744,-0.00628381,0.00256334,-0.00283232,0.00258428,-0.00310217,-0.00043609,0.00475545
-17.2038,0.58127,0.602977,1,1.00382,0.000308749,0.499517,0.00278754,-5.81464e-05,-0.00309572,0.00446622,-0.00296652,-0.00149198,0.00150397,0.00233178,0.000834058,0.00202744,-0.00628381,0.00256334,-0.00283232,0.00258428,-0.00310217,-0.00043609,0.00475545
-14.4401,1,0.602977,1,0.997815,0.00229943,0.49944,-0.00281848,0.00115328,0.00098492,-0.00295973,0.00271273,-0.00202903,-0.00109228,-0.00119565,0.000771822,-0.00157282,0.00378919,-0.0010689,0.000208723,-0.00160816,0.00425892,0.00224058,-0.00456477
-14.4401,0.31395,0.602977,1,0.997815,0.00229943,0.49944,-0.00281848,0.00115328,0.00098492,-0.00295973,0.00271273,-0.00202903,-0.00109228,-0.00119565,0.000771822,-0.00157282,0.00378919,-0.0010689,0.000208723,-0.00160816,0.00425892,0.00224058,-0.00456477
-16.3144,0.546337,0.602977,1,0.999016,0.00408425,0.49818,0.00194625,-0.00175793,-0.000395335,-0.00385837,0.00148359,-0.000135583,-0.000680852,0.00295489,0.00307246,-0.00298443,0.000235104,-0.00261284,0.00124611,0.00250896,0.00614617,-0.00423932,0.00113782
-17.2353,0.505327,0.602977,1,1.00394,0.00236099,0.49749,0.00227298,-0.00113242,-0.0032493,0.00242481,-0.00152485,0.000781997,-0.000366537,-0.00385988,-0.00337481,0.00425406,-0.00148541,-0.00052059,0.000189684,-0.000519168,-0.00453043,0.0068709,0.00129389
-17.4237,0.649238,0.602977,1,0.999142,0.000793993,0.50416,-0.00202371,0.000369345,0.00420436,0.00410471,0.00144971,0.0010768,0.000360203,0.00396925,-0.000494388,-0.0029941,-0.00283772,0.0015236,-0.0009148,-0.00313183,0.00173884,-0.00720626,-0.00214145
-16.7598,0.769756,0.602977,1,1.00059,-0.00274472,0.498527,0.00227166,-0.00518623,-0.00265497,-0.00664723,-0.00354501,0.000745143,0.000824068,-0.00390971,0.00140855,-0.00100275,0.00207023,-0.00128192,-0.000904483,0.00107079,0.00251652,0.00336566,0.0012785
-20.9905,0.468578,0.602977,1,0.993416,0.000556247,0.50674,-0.00154302,-0.00527405,-0.00189186,-0.00573605,-0.00140266,-0.001316,-0.00578898,-0.00250421,-0.00364175,0.00307795,0.000451576,0.00221085,0.00257984,-0.00239026,0.00149741,-0.00359625,0.00199562
-19.529,1,0.602977,1,0.994932,0.000708366,0.50192,0.000734379,-0.00406497,0.000151614,-0.00317088,0.000310192,-0.00541945,-0.00386868,-0.00537714,-0.000696148,0.00728637,-0.00143552,-0.00153464,-0.000615813,0.000614877,-0.000861513,-0.00414789,0.00367775
-21.7841,0.838618,0.602977,1,1.00143,-0.000710074,0.503792,-0.000259655,-0.00203453,-0.000924788,-0.00619659,-0.00363241,-0.000795633,0.00573728,-0.00188164,0.00315344,8.7625e-05,0.00251666,-0.00174611,0.00938229,-0.00158765,-0.00575325,-0.000138189,0.000696272
-19.6715,0.965727,0.602977,1,1.00156,0.000299394,0.496466,0.00123177,-0.000552139,0.000358877,0.00568026,-0.00234378,0.000221288,-0.00272181,-0.00409312,0.00467538,0.00711364,0.00257329,-0.000249342,0.00580067,-0.000381933,0.00421981,-0.00106761,0.00131396
-21.5135,0.863048,0.602977,1,1.00226,-0.00128092,0.501669,-0.000749503,-6.64529e-06,0.00349822,-0.00739447,0.00148551,0.00190204,0.00378694,0.00442056,-0.00531033,-0.00407337,-0.000726581,0.00125251,-0.00755534,2.75367e-05,-0.00514627,0.00157104,-0.000622918
-27.5229,0.594771,0.602977,1,0.999988,0.00395985,0.502804,0.00117464,0.00194664,0.0081474,-0.00680334,0.000346477,0.00323823,-0.00175797,0.00523486,-0.00389879,-0.0030686,-0.00253665,-0.00237683,-0.00853514,0.00219768,-0.00788387,0.00141516,0.00261401
-24.1726,1,0.602977,1,1.00144,-0.00371008,0.50096,-0.000474789,-0.00244999,-0.00625036,0.00689588,-0.0021864,-0.00461401,0.00191562,-0.00391177,0.00483976,0.00236847,-0.000460797,0.00167828,0.00580964,0.00400137,0.00673711,-0.00437043,-0.00106221
-22.2247,1,0.602977,1,1.00221,0.00214655,0.500779,-0.00223876,0.00630047,0.006802,-0.00775021,-4.81552e-06,0.00442474,-0.00303808,0.00341903,-0.00277936,0.00321981,-0.00129662,-5.81816e-05,-0.00128687,-0.00177714,-0.00532744,0.00282433,0.00139419
-21.6588,0.866887,0.602977,1,0.999311,0.00790733,0.494167,0.00373794,0.000732139,-0.000741032,0.00482066,0.000476517,0.00135292,0.00553658,-0.00110562,0.000352031,-0.00068577,-0.000289294,-0.00244656,0.00314471,0.00309156,0.00592921,0.00400856,0.00224109
-16.5312,1,0.602977,1,1.00187,-0.000698812,0.501569,0.00352067,-0.00365239,-0.00151416,-0.000811458,-0.00242938,-0.000330349,-0.000412163,0.00612732,0.0012033,-0.000483153,-0.000949241,0.00154829,-0.004514,0.00487824,-0.000391319,0.00115002,-0.00451179
-23.0147,0.315072,0.602977,1,0.990191,-0.000471036,0.495484,-0.00333883,0.00863713,0.000172612,0.00143933,0.0052662,-8.95258e-06,0.00157086,-0.00139454,-0.00470202,0.00222465,0.00162942,-0.00330045,0.00276945,-0.00248928,0.00170168,-0.000929737,0.00557468
-17.047,0.991043,0.602977,2,1.0032,-0.00194622,0.49664,0.00339704,0.00404203,0.0014672,0.00383826,0.00159029,0.00167955,0.00525002,-0.0016289,-0.000164681,0.00479113,-0.00107303,-0.000299192,-0.00123568,-0.000620804,0.000809955,0.000545839,0.00559408
-15.8035,0.526021,0.602977,1,1.00777,0.000494591,0.502915,0.00415325,0.00102382,0.00100804,0.000168178,0.000928275,0.00249249,-0.000986997,-0.000889008,0.0027264,0.00202394,0.0011019,-0.00295367,-0.00118053,-0.000743314,0.0021534,0.00459244,0.00420951
-15.8035,0.484804,0.602977,1,1.00777,0.000494591,0.502915,0.00415325,0.00102382,0.00100804,0.000168178,0.000928275,0.00249249,-0.000986997,-0.000889008,0.0027264,0.00202394,0.0011019,-0.00295367,-0.00118053,-0.000743314,0.0021534,0.00459244,0.00420951
-20.3176,0.703464,0.602977,1,1.006,-0.000852777,0.500767,0.000815317,0.00161105,0.00480701,0.0012932,0.00165983,-0.00175922,-0.00995822,-0.000501943,0.00540847,-0.00222717,0.000130879,0.00285425,0.00270803,-0.00272093,0.00183502,-0.0004188,-0.00325346
-20.8907,0.941186,0.602977,1,1.00625,0.00391987,0.499022,-2.91137e-05,0.00802289,-0.00502716,0.000307174,0.00146743,0.00196026,0.000246794,-0.00102513,-0.00129257,0.000712789,-0.00626894,-0.00169872,0.00409805,-0.00102893,0.00619445,0.00109809,0.0010397
-19.664,1,0.602977,1,1.00501,0.00601753,0.499098,-0.000646283,0.00648708,-0.00425056,-0.00173168,0.00468117,0.00420301,-0.000634331,-0.00030598,-0.00449017,-0.00324331,-0.000521627,-0.000814801,0.00144606,-0.00323794,0.00361638,0.000380885,0.000528449
