# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = chebyshev_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = chebyshev.dataset.R
# init = 2 (Default)
# random
#   seed = 2673561448
# output
#   file = samples.csv (Default)
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,coefs.1,coefs.2,coefs.3,coefs.4,coefs.5,coefs.6,coefs.7,coefs.8,coefs.9,coefs.10,coefs.11,coefs.12,coefs.13,coefs.14,coefs.15,coefs.16,coefs.17,coefs.18,coefs.19,coefs.20
# Adaptation terminated
# Step size = 0.79426
# Diagonal elements of inverse mass matrix:
# 0.137798, 0.0785077, 0.0772137, 0.0785645, 0.0952407, 0.0815197, 0.0742528, 0.0822607, 0.0792669, 0.093631, 0.0932868, 0.097407, 0.100388, 0.0869111, 0.099586, 0.0844145, 0.0894394, 0.0929967, 0.0888321, 0.0804048
-16.9977,0.66087,0.79426,2,1.09283,0.0195,0.419458,0.304215,-0.55419,0.606523,0.611401,0.136049,0.181839,-0.135942,0.168539,0.467037,-0.0818302,0.229382,0.514493,0.276898,0.150268,-0.0806667,-0.115922,-0.00958264
-18.376,0.889269,0.79426,1,1.15682,-0.16838,0.682791,0.0267377,-0.0780439,0.0788247,0.281593,-0.275464,-0.230512,0.218395,-0.108436,0.55318,-0.22353,0.184019,-0.357947,0.167851,0.712782,-0.470802,0.4572,0.165643
-21.3238,0.762701,0.79426,1,1.40083,-0.433114,1.03286,0.102012,-0.0427158,-0.118865,0.435261,-0.381997,-0.277576,0.452784,-0.30547,0.111169,0.0574496,0.200863,-0.168867,-0.0883976,0.730388,-0.463678,0.0554116,-0.240625
-22.4423,0.86427,0.79426,1,1.56852,0.0256898,0.239804,0.376815,-0.479717,-0.0167009,0.689627,0.320359,0.0894789,0.393012,-0.224854,0.073105,-0.111355,0.65701,0.5186,-0.0169304,-0.67959,0.224756,0.307273,0.340931
-20.5662,0.944736,0.79426,2,0.72279,0.261186,0.659315,-0.228676,0.463421,0.373132,-0.111997,0.0630456,0.462179,0.267085,0.107127,-0.113107,-0.207209,-0.508428,-0.527911,-0.173446,0.659324,-0.0217496,-0.287347,-0.349703
-16.7949,1,0.79426,1,0.870994,0.415035,0.752526,0.130324,0.151687,0.181452,-0.328016,0.00899178,0.164467,0.205931,-0.0390803,-0.112907,-0.0139457,-0.618693,0.0193338,0.358664,0.683891,0.0559129,-0.197789,-0.205853
-19.6609,0.774904,0.79426,2,1.0736,0.27085,0.414079,0.073993,0.646487,0.368896,0.223113,0.139294,0.65199,-0.3734,-0.296253,-0.0119599,-0.149877,-0.67059,-0.0228797,-0.00946143,0.221251,-0.393858,0.0300393,0.109831
-25.5752,0.2861,0.79426,1,0.471607,-0.0189015,0.710931,0.0408676,-0.764726,0.161086,0.0593846,0.0293628,-0.156627,0.112623,0.276979,-0.0225268,-0.118186,0.999354,0.345237,-0.428264,-0.0424385,0.965627,-0.219562,-0.0272472
-15.691,1,0.79426,1,0.446199,0.181976,0.736624,0.104654,0.0442082,0.00967073,0.263672,-0.20919,-0.00296362,-0.199025,-0.292025,-0.425221,0.0929919,-0.103321,0.194939,0.338168,0.206857,0.105316,-0.398515,-0.276333
-16.2374,0.490823,0.79426,1,1.18617,0.159816,0.368052,-0.046618,-0.550556,0.173652,0.176489,-0.189414,0.00519783,-0.274098,-0.361208,-0.108294,-0.146589,0.32454,0.47505,0.353905,-0.013602,0.0496488,-0.232373,-0.0993396
-16.2757,0.882864,0.79426,2,0.78376,0.0532212,0.632413,0.213707,0.703709,0.0118627,0.107905,0.363047,0.185069,0.505958,0.614134,0.259109,0.362292,-0.162825,-0.223545,-0.172084,0.21907,0.131266,0.431826,0.238329
-15.1425,0.634501,0.79426,2,0.487365,0.166686,0.561352,-0.257031,0.172811,0.271628,0.102939,-0.219813,-0.0379722,-0.129467,-0.21894,0.303837,0.00219213,0.667661,0.213179,-0.103303,0.441541,0.129707,0.419788,0.169328
